,word,count
0,अकड़ना,7
1,अँकड़ना,7
2,अंगना,16
3,अंजरपंजर,4
4,अंजल,36
5,अंजलि,36
6,अंजलिपुट,36
7,अँजली,36
8,अंजली,36
9,अँजुरी,36
10,अंजुरी,36
11,अंजुल,36
12,अंजुली,36
13,अञ्जरपञ्जर,4
14,अञ्जलि,36
15,अड़ान,1
16,अतः,7
17,अतएव,7
18,अनुरागना,4
19,अबला,16
20,अवस्कंद,1
21,अवस्कन्द,1
22,अस्थिपंजर,4
23,अस्थिपञ्जर,4
24,आधान,39
25,आधार,43
26,आशुग,3
27,आस्पद,40
28,इकाई,2
29,इसलिए,7
30,इसीलिए,7
31,उकेला,4
32,एकक,2
33,औद्योगिकी,13
34,औरत,17
35,कंकाल,4
36,कंटेनर,38
37,कन्टेनर,38
38,कंपू,1
39,करपात्र,36
40,कानीन,6
41,कोश,39
42,कोष,39
43,चकता,2
44,चकत्ता,2
45,चटका,7
46,चट्टा,3
47,चट्टी,1
48,चलबाँक,2
49,चुनाँचे,10
50,चुनांचे,10
51,छावनी,1
52,ज़न,16
53,जोषिता,16
54,टप्पा,1
55,टिकान,1
56,टेक्नालजी,13
57,टेक्नालॉजी,13
58,टेक्नॉलजी,13
59,टेक्नॉलॉजी,13
60,टेक्नॉलोजी,13
61,ठठरी,4
62,ठठेर,4
63,ठाटर,4
64,ठाठ,4
65,ठाठर,4
66,ठिठुरना,7
67,ठिठुरे,5
68,डब्बा,36
69,डायमीटर,6
70,डिब्बा,36
71,डेरा,1
72,डौर,4
73,डौल,4
74,ढलना,6
75,ढाँचा,6
76,ढांचा,6
77,तनु,21
78,तबक़,5
79,तबके,2
80,तह,7
81,तिय,17
82,तिरिया,16
83,तीव,16
84,तीव्रगामी,2
85,तेज,7
86,तेज़,6
87,त्रिया,16
88,थर,4
89,ददोड़ा,2
90,ददोरा,2
91,दोना,36
92,दौना,36
93,द्रुतगति,2
94,द्रुतगामी,2
95,द्रोण,36
96,नार,20
97,नारी,16
98,निकालना,3
99,निःशुल्क,28
100,निश्शुल्क,28
101,निष्काशन,1
102,निष्कासन,1
103,निहित,8
104,पंजर,4
105,पञ्जर,4
106,पटल,4
107,पत्रपुट,36
108,परत,4
109,पात्र,42
110,पाराशर,6
111,पिंजर,4
112,पिञ्जर,4
113,पुर,7
114,प्रौद्योगिकी,13
115,फास्ट,2
116,बादरायण,6
117,बैयर,16
118,ब्यास,6
119,भाम,16
120,भामा,16
121,भामिनी,16
122,भुवन,6
123,मरना,5
124,महिला,16
125,मानववादी,1
126,मानवी,16
127,मानुषी,16
128,मुफ्त,28
129,मुफ़्त,28
130,मेहना,16
131,यूनिट,2
132,योषिता,16
133,रंगना,4
134,रीझना,4
135,रीझने,3
136,लिहाजा,7
137,लिहाज़ा,7
138,लुगाई,17
139,लुढ़कना,5
140,लोक,7
141,लोगाई,17
142,वनिता,20
143,वरक,3
144,वरक़,3
145,वर्क,3
146,वर्क़,3
147,वादरायण,6
148,वामा,16
149,वासवेय,6
150,वासिता,16
151,वासुरा,19
152,विक्षेप,5
153,विपाशा,6
154,वेदव्यास,6
155,व्यास,6
156,शफरुक,39
157,शिविर,1
158,शीघ्रगामी,2
159,संपुट,38
160,सम्पुट,39
161,सुनंदा,16
162,सुनन्दा,16
163,स्तर,6
164,स्त्री,17
165,हटाव,1
166,अनुसूची,2
167,आसुग,2
168,ईकाई,2
169,कङ्काल,4
170,गर्भित,8
171,टेक्नोलोजी,13
172,ठिठरना,7
173,तबक,5
174,निर्वासन,1
175,निशुल्क,28
176,पड़ाव,1
177,पुटी,36
178,मानवतावादी,1
179,रमणी,16
180,सात्यवत,6
181,अकड़,9
182,अग,51
183,अंगज,5
184,अगम,16
185,अगम्य,16
186,अग्रज,2
187,अग्रजन्मा,2
188,अघम,1
189,अघ्रिप,47
190,अचुरा,2
191,अज्ञेय,16
192,अटल,4
193,अटलनीय,1
194,अटित,2
195,अंतःकरण,6
196,अंतर,7
197,अंतस्,6
198,अतिकाय,1
199,अतिकाल,28
200,अतिरिक्त,4
201,अतिवेला,28
202,अदा,11
203,अंदाज,17
204,अंदाज़,17
205,अदृढ़,2
206,अधपका,2
207,अधबुध,2
208,अधिगम,4
209,अनतपा,2
210,अनंतर,6
211,अनंतरित,2
212,अनति,9
213,अनन्तर,6
214,अनन्तरित,2
215,अनपका,2
216,अनभिज्ञ,2
217,अनभ्यस्त,2
218,अनवरत,4
219,अनसीझा,2
220,अनिवार्य,1
221,अनुनीति,4
222,अनुभवरहित,2
223,अनुभवहीन,2
224,अनोकह,47
225,अन्तःकरण,6
226,अन्तर,7
227,अन्तस्,6
228,अपकर्ष,10
229,अपकर्षण,3
230,अपक्व,2
231,अपदस्थ,3
232,अपभ्रंश,3
233,अपयश,2
234,अपरिणत,2
235,अपरिपक्व,2
236,अपवाद,2
237,अपह्रास,5
238,अबाध्य,1
239,अबार,28
240,अबेर,28
241,अभरम,4
242,अभागा,2
243,अभागे,2
244,अभिज्ञता,1
245,अभिमति,21
246,अभिमान,12
247,अमंद,48
248,अमन्द,48
249,अमरूत,3
250,अमरूद,3
251,अमिट,1
252,अमुक्ति,1
253,अमेय,19
254,अमेव,19
255,अयानत,2
256,अरोगिता,3
257,अरोग्यता,3
258,अर्क,51
259,अर्घपतन,1
260,अर्धशिक्षित,2
