gid,pid
1,ocwnigep1
1,ocwnigep2
1,ocwnigep3
1,ocwnigep4
1,ocwnigep5
2,tcwwigop1
2,tcwwigop2
2,tcwwigop3
2,tcwwigop4
2,tcwwigop5
3,tcwhrigeep1
3,tcwhrigeep2
3,tcwhrigeep3
3,tcwhrigeep4
3,tcwhrigeep5
4,fcwoigurp1
4,fcwoigurp2
4,fcwoigurp3
4,fcwoigurp4
4,fcwoigurp5
5,fcwiigvep1
5,fcwiigvep2
5,fcwiigvep3
5,fcwiigvep4
5,fcwiigvep5
6,scwiigxp1
6,scwiigxp2
6,scwiigxp3
6,scwiigxp4
6,scwiigxp5
7,secwvigenp1
7,secwvigenp2
7,secwvigenp3
7,secwvigenp4
7,secwvigenp5
8,eicwgihgtp1
8,eicwgihgtp2
8,eicwgihgtp4
8,eicwgihgtp5
9,ncwiignep1
9,ncwiignep2
9,ncwiignep3
9,ncwiignep4
9,ncwiignep5
10,tcweignp2
10,tcweignp3
10,tcweignp4
10,tcweignp5
11,elcwevigenp1
11,elcwevigenp2
11,elcwevigenp3
11,elcwevigenp4
11,elcwevigenp5
12,twcweligvep1
12,twcweligvep2
12,twcweligvep3
12,twcweligvep4
12,twcweligvep5
13,thcwirteigenp1
13,thcwirteigenp2
13,thcwirteigenp3
13,thcwirteigenp4
13,thcwirteigenp5
14,focwurteigenp1
14,focwurteigenp2
14,focwurteigenp3
14,focwurteigenp4
14,focwurteigenp5
15,ficwfteigenp1
15,ficwfteigenp2
15,ficwfteigenp3
15,ficwfteigenp4
15,ficwfteigenp5
16,sicwxteigenp1
16,sicwxteigenp2
16,sicwxteigenp3
16,sicwxteigenp4
16,sicwxteigenp5
17,sevcwenteigenp1
17,sevcwenteigenp2
17,sevcwenteigenp3
17,sevcwenteigenp4
17,sevcwenteigenp5
18,eigcwhteigenp1
18,eigcwhteigenp2
18,eigcwhteigenp3
18,eigcwhteigenp4
18,eigcwhteigenp5
19,nicwneteigenp1
19,nicwneteigenp2
19,nicwneteigenp3
19,nicwneteigenp4
19,nicwneteigenp5
20,tcwwenigtyp1
20,tcwwenigtyp2
20,tcwwenigtyp3
20,tcwwenigtyp4
20,tcwwenigtyp5
10,tcweignp6
8,eicwgihgtp0
