,pid,word,simplicity,complexity
0,eicwgihgtp0,चिन्तनशील,5,0
1,eicwgihgtp0,मननशील,5,0
2,eicwgihgtp0,चिंतनशील,5,0
3,eicwgihgtp0,तबक,5,0
4,eicwgihgtp0,तह,5,0
5,eicwgihgtp0,थर,5,0
6,eicwgihgtp0,पटल,3,1
7,eicwgihgtp0,ददोरा,1,1
8,eicwgihgtp0,ददोड़ा,1,1
9,eicwgihgtp0,तबक़,5,0
10,eicwgihgtp0,तबके,5,0
11,eicwgihgtp0,उकेला,3,1
12,eicwgihgtp0,स्तर,5,0
13,eicwgihgtp0,परत,5,0
14,eicwgihgtp0,भुवन,5,0
15,eicwgihgtp0,वर्क़,5,0
16,eicwgihgtp0,वर्क,4,0
17,eicwgihgtp0,चट्टा,5,0
18,eicwgihgtp0,वरक,2,1
19,eicwgihgtp0,पुर,4,0
20,eicwgihgtp0,चकत्ता,2,1
21,eicwgihgtp0,चकता,2,1
22,eicwgihgtp0,वरक़,1,1
23,eicwgihgtp0,चटका,5,0
24,eicwgihgtp0,लोक,5,0
25,eicwgihgtp0,वाम,1,1
27,eicwgihgtp0,प्रतिकुंचित,2,1
28,eicwgihgtp0,वंक,1,1
29,eicwgihgtp0,ताबदार,3,1
30,eicwgihgtp0,बंकिम,3,1
31,eicwgihgtp0,उँकारी,1,1
32,eicwgihgtp0,वक्र,1,1
33,eicwgihgtp0,बंकट,1,1
35,eicwgihgtp0,घुमावदार,4,0
36,eicwgihgtp0,कुंचित,3,1
38,eicwgihgtp0,बंगा,2,1
39,eicwgihgtp0,प्रतिकुञ्चित,1,1
40,eicwgihgtp0,कज,2,1
41,eicwgihgtp0,मोड़दार,4,0
42,eicwgihgtp0,बलखाता,5,0
43,eicwgihgtp0,टेढ़ा,5,0
44,eicwgihgtp0,अटित,1,1
45,eicwgihgtp0,बंक,1,1
46,eicwgihgtp1,7वाँ,1,1
47,eicwgihgtp1,७वाँ,1,1
48,eicwgihgtp1,७वीं,1,1
49,eicwgihgtp1,7वीं,1,1
50,eicwgihgtp1,अकड़,3,1
52,eicwgihgtp1,अकड़ना,2,1
53,eicwgihgtp1,अँकड़ना,2,1
54,eicwgihgtp1,अग,5,0
55,eicwgihgtp1,अंगज,3,1
56,eicwgihgtp1,अगम,4,0
57,eicwgihgtp1,अगम्य,5,0
58,eicwgihgtp1,अग्रज,5,0
59,eicwgihgtp1,अग्रजन्मा,4,0
60,eicwgihgtp1,अघम,3,1
61,eicwgihgtp1,अघ्रिप,2,1
62,eicwgihgtp1,अचुरा,3,1
63,eicwgihgtp1,अंजल,3,1
65,eicwgihgtp1,अंजलि,3,1
66,eicwgihgtp1,अंजलिपुट,2,1
67,eicwgihgtp1,अँजली,3,1
68,eicwgihgtp1,अंजली,4,0
69,eicwgihgtp1,अँजुरी,3,1
70,eicwgihgtp1,अंजुरी,4,0
71,eicwgihgtp1,अंजुल,3,1
72,eicwgihgtp1,अंजुली,3,1
73,eicwgihgtp1,अज्ञेय,2,1
74,eicwgihgtp1,अञ्जलि,3,1
75,eicwgihgtp1,अटल,3,1
76,eicwgihgtp1,अटलनीय,2,1
77,eicwgihgtp1,अटित,2,1
78,eicwgihgtp1,अतः,4,0
79,eicwgihgtp1,अतएव,3,1
80,eicwgihgtp1,अंतःकरण,3,1
81,eicwgihgtp1,अंतर,5,0
82,eicwgihgtp1,अंतस्,2,1
83,eicwgihgtp1,अतिकाय,4,0
84,eicwgihgtp1,अतिकाल,3,1
85,eicwgihgtp1,अतिरिक्त,2,1
86,eicwgihgtp1,अतिवेला,2,1
87,eicwgihgtp1,अदा,3,1
88,eicwgihgtp1,अंदाज,3,1
89,eicwgihgtp1,अंदाज़,3,1
90,eicwgihgtp1,अदृढ़,2,1
91,eicwgihgtp1,अधपका,3,1
92,eicwgihgtp1,अधबुध,2,1
93,eicwgihgtp1,अधिगम,3,1
