word,length,n_synsets,n_synonyms,n_consonants,n_vowels,n_hypernyms,n_hyponyms,n_consonantconjuncts,n_syllables,frequency,label,label_avg
परचम,0.5,0.33333333333333304,0.005524861878452999,1.0,0.0,0.875,0.0,0.0,1.0,0.17492171453584301,1,3.0
भविष्य,0.375,0.14285714285714302,0.20547945205479398,0.5,0.25,0.244897959183673,0.608695652173913,0.5,0.5,0.658716292818467,1,3.0
उत्तरकाल,0.625,0.0,0.06849315068493199,0.75,0.5,0.23469387755101997,0.0,0.5,1.0,0.000287852206614,1,3.0
अवर्त्तमान,0.875,0.0,0.06849315068493199,1.0,0.75,0.23469387755101997,0.0,1.0,1.0,0.0,1,3.0
अवर्तमान,0.625,0.0,0.06849315068493199,0.75,0.5,0.23469387755101997,0.0,0.5,1.0,1.2937177825340302e-05,1,3.0
भविष्यकाल,0.75,0.0,0.0,1.0,0.5,0.0,0.608695652173913,0.5,1.0,0.000762058751416,1,3.0
भविष्यत्,0.625,0.0,0.0,0.75,0.5,0.0,0.608695652173913,1.0,0.5,0.0010470024584680001,1,3.0
इस्तक़बाल,0.75,0.14285714285714302,0.136986301369863,0.75,0.75,0.18367346938775503,0.608695652173913,0.5,0.5,0.0,1,3.0
चिदानन्द,0.28571428571428603,0.0,0.6428571428571429,0.25,0.33333333333333304,0.982456140350877,1.0,0.33333333333333304,0.25,0.0013655532498830002,1,2.8333333333333335
अमृतगर्भ,0.28571428571428603,0.0,0.6428571428571429,0.25,0.33333333333333304,0.982456140350877,1.0,0.33333333333333304,0.5,0.0,1,2.6666666666666665
ब्रह्मोपनिषद्,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,2.5
ब्रह्मोपनिषद,0.857142857142857,0.0,0.0,1.0,0.666666666666667,0.0,0.0,0.666666666666667,1.0,5.38155203960822e-05,1,2.5
प्रसंग,0.4,0.5,1.0,0.5,0.5,0.041666666666667,0.545454545454545,0.5,0.5,0.066937796480233,1,2.5
बाबत,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.019737617794827998,1,2.6666666666666665
प्रकीर्ण,0.8,1.0,0.34615384615384603,0.75,1.0,1.0,0.09090909090909101,1.0,0.5,0.001728096285348,1,1.6666666666666667
प्रकीर्णक,1.0,0.5,0.211538461538462,1.0,1.0,0.375,0.09090909090909101,1.0,1.0,1.40781867295492e-05,1,2.3333333333333335
अम्र,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0007443841233250001,1,3.0
तुरंगशाला,0.857142857142857,0.0,0.150943396226415,0.75,1.0,0.014084507042254,0.0,0.0,0.75,0.0,1,2.5
पेलिशाला,0.7142857142857142,0.0,0.150943396226415,0.5,1.0,0.014084507042254,0.0,0.0,0.5,0.0,1,3.0
तुरंगमशाला,1.0,0.0,0.150943396226415,1.0,1.0,0.014084507042254,0.0,0.0,1.0,0.0,1,2.5
अश्वगोष्ठ,0.857142857142857,0.0,0.150943396226415,0.75,1.0,0.014084507042254,0.0,1.0,0.25,0.0,1,3.0
मंदुरा,0.42857142857142894,0.14285714285714302,0.226415094339623,0.25,0.666666666666667,0.049295774647887,0.12244897959183698,0.0,0.25,0.0,1,2.5
मन्दुरा,0.5714285714285711,0.14285714285714302,0.226415094339623,0.5,0.666666666666667,0.049295774647887,0.12244897959183698,0.5,0.25,0.0,1,3.0
आखर,0.0,0.857142857142857,1.0,0.0,0.0,0.443661971830986,1.0,0.0,0.0,0.342550368700289,1,3.0
मजीरा,0.28571428571428603,0.0,0.0,0.25,0.33333333333333304,0.0,0.0,0.0,0.25,0.016008483991515998,1,2.6666666666666665
अर्य,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.00035662919656099997,1,3.0
अर्य्य,0.4,0.5,1.0,0.25,1.0,1.0,1.0,1.0,0.0,0.0,1,2.4
अर्ह्य,0.4,0.25,0.209302325581395,0.25,1.0,0.0,0.0,1.0,0.0,0.0,1,3.0
अंबुधि,0.42857142857142894,0.0,0.350282485875706,0.0,0.8,0.0,0.048507462686567,0.0,0.5,0.00010186515331100002,1,2.2
अम्बुधि,0.5714285714285711,0.0,0.350282485875706,0.2,0.8,0.0,0.048507462686567,0.5,0.5,0.00035652803658899995,1,2.2
