id,word,length,n_synsets,n_synonyms,n_avg_synonyms,n_consonants,n_vowels,n_hypernyms,n_avg_hypernyms,n_hyponyms,n_avg_hyponyms,n_consonantconjuncts,n_syllables,label
13776,झिल्ली,6,3,14,4.666666666666667,3,3,15,5.0,24,8.0,1,2,0
13777,झींगुर,6,1,12,12.0,3,3,5,5.0,2,2.0,0,2,0
13778,झींगर,5,1,12,12.0,3,2,5,5.0,2,2.0,0,2,0
13779,झिंझी,5,1,12,12.0,2,3,5,5.0,2,2.0,0,2,0
13780,भृंगारिका,9,1,12,12.0,4,5,5,5.0,2,2.0,0,4,0
13781,चीलिका,6,1,12,12.0,3,3,5,5.0,2,2.0,0,3,0
13782,चील्लक,6,1,12,12.0,4,2,5,5.0,2,2.0,1,2,0
13783,वर्षकरी,7,1,12,12.0,5,2,5,5.0,2,2.0,1,3,0
13784,तैलांबु,7,1,12,12.0,3,4,5,5.0,2,2.0,0,3,0
13785,तैलाम्बु,8,1,12,12.0,4,4,5,5.0,2,2.0,1,3,0
13786,चीरिका,6,1,12,12.0,3,3,5,5.0,2,2.0,0,3,0
13787,चीरी,4,1,12,12.0,2,2,5,5.0,2,2.0,0,2,0
