word,frequency
का,40779
है,13797
में,13310
और,11816
कर,10531
०,10212
१,10040
जा,8721
से,7301
को,6299
५,5832
९,5614
दे,5499
यह,5474
२,5352
लिए,4724
हो,4587
३,3328
चाहिए,3153
ले,3026
४,3005
पर,2884
८,2859
६,2758
सा,2621
वह,2594
पानी,2565
७,2477
एक,2424
योजना,2358
वाला,1918
ग्राम,1914
भी,1870
खाद,1859
प्रति,1802
साथ,1781
लीटर,1748
कृषि,1670
जो,1665
प्रतिशत,1664
फसल,1653
था,1653
आ,1619
मि,1617
करोड,1583
ने,1582
तक,1576
द्वारा,1546
छिड,1528
किलो,1473
रह,1449
या,1421
उपयोग,1414
रु,1414
कृषीय,1391
छिड़काव,1340
टन,1289
किस्म,1278
उपचार,1273
कि,1256
सरकार,1254
रोग,1203
सल्फेट,1202
प्याज,1182
बाजार,1180
दिन,1171
कीट,1167
घोल,1158
सक,1136
उत्तर,1129
कोई,1126
बाद,1067
कारण,1066
प्रश्न,1054
कृषक,1015
खेती,1006
राज्य,957
दो,947
ही,933
कृपया,929
मिट्टी,921
बीज,907
पण्य,897
केंद्र,890
विकास,877
मिलियन,873
अधिक,852
बता,851
जानवर,846
कुछ,836
बार,835
बना,814
प्रत्येक,789
लग,779
उत्पाद,769
गोबर,766
हम,761
देश,741
कौन,737
एस,737
निवेश,737
समय,732
सहायता,731
बढ़ा,727
एकड,727
सहकारी,727
क्षेत्र,719
आर्थिक,716
दवा,710
समिति,708
पा,706
लाख,685
शीतागार,675
आवश्यकता,665
फल,665
बेहतर,656
ऋण,635
उत्पादन,632
अनुसार,628
पी,627
खेत,615
विपणन,609
कौन्म,603
कम,601
बारे,597
आप,592
जैसे,587
पौधा,575
पहले,574
अपना,571
क्षमता,566
बोआई,565
एम,563
ई,557
प्रकार,548
रख,548
आदि,544
पत्ती,540
वृद्धि,533
पशु,524
जानकारी,520
सुरक्षित,518
बहुत,517
व्यापार,515
स्थापित,515
बढ़,514
यदि,513
लगा,511
भारतीय,501
डी,500
पेड़,499
मंडल,496
प्रीमियम,495
नही,490
पूरा,487
तथा,485
सुरक्षा,485
निर्यात,484
कीमत,483
तो,480
अंतराल,479
एन,476
निगम,474
सूचना,473
सब्जी,468
नहीं,468
रूप,464
आशा,462
भारत,454
किलोग्राम,448
हरा,447
मात्रा,445
यूरिया,440
लगभग,440
मुख,440
ऐसा,439
प्रयोग,436
वर्ष,436
आवश्यक,431
न,429
फूल,425
संघ,415
काबू,413
कीटनाशक,412
अब,407
सिरा,406
खरीद,403
मिल,401
अनुपात,398
निर्धारित,398
माँग,396
लिमिटेड,392
सार्वजनिक,390
क्या,381
अंत,376
प्राप्त,375
संकर,374
सिंचाई,374
अन्य,373
मिर्च,372
अंतर्गत,372
कुल,371
नौवां,368
बैल,364
ककडी,362
ग्रामीण,360
विज्ञान,359
बीमारी,357
फुल,357
बीच,352
राष्ट्रीय,349
मंत्रालय,348
काली,347
प्रदान,346
छोटा,346
अनुमान,344
लागू,341
वर्तमान,339
