word,frequency
का,216673
है,123028
में,80361
वह,63653
हो,60431
कर,59409
यह,57120
जा,56900
से,48755
और,47641
को,40850
था,34021
पर,26526
भी,25424
नहीं,22938
कि,22859
रह,22806
दे,21180
एक,20314
ही,19554
जो,19483
तो,16585
ने,16150
लिए,15521
अपना,15465
मैं,14925
ले,13043
तथा,11550
आ,11434
कोई,11165
सक,11161
कह,10102
हम,8683
न,7521
कुछ,7439
साथ,7009
वाला,6933
या,6929
तक,6867
दो,6583
बात,6178
ऐसा,6152
देख,5773
मिल,5637
आप,5619
रूप,5461
सब,5372
लग,5369
लोग,5178
बन,5088
रख,5016
द्वारा,4862
समय,4785
क्या,4725
प्रकार,4672
बड़ा,4597
एवं,4513
चल,4513
जब,4416
बहुत,4260
अधिक,4152
कारण,4052
लगा,4006
दूसरा,3983
फिर,3964
तरह,3929
बाद,3877
क्षेत्र,3865
कार्य,3850
बना,3714
दिन,3659
अब,3585
वर्ष,3548
पा,3538
चाहिए,3436
देश,3350
लेकिन,3350
काम,3308
चाह,3237
सरकार,3098
ओर,3084
जी,3009
आदि,3002
मान,2981
प्राप्त,2947
पहले,2929
विकास,2919
जैसे,2884
भारत,2846
सा,2830
१,2823
पूरा,2790
कम,2780
जीवन,2774
तुम,2770
कभी,2756
यहाँ,2754
नया,2746
समझ,2645
राज्य,2620
पड़,2613
घर,2611
बार,2579
आज,2557
अन्य,2551
व,2530
वहाँ,2465
२,2459
यदि,2457
व्यक्ति,2442
पास,2439
अच्छा,2321
तब,2296
पड,2286
नाम,2270
इतना,2254
बैठ,2233
जान,2185
कौन,2185
लिख,2156
भाग,2115
भाषा,2095
हाथ,2091
केवल,2077
बता,2027
मा,2019
तीन,1997
विचार,1994
भारतीय,1987
रुपया,1965
स्थिति,1957
योजना,1952
प्रति,1937
भर,1927
श्री,1924
प्रयोग,1905
३,1863
छोटा,1861
विशेष,1837
स्थान,1822
क्योंकि,1808
कई,1804
जहाँ,1801
मन,1783
विभिन्न,1769
बच्चा,1762
बोल,1762
बीच,1750
शब्द,1744
लाख,1737
व्यवस्था,1737
इसलिए,1719
चुक,1699
सारा,1686
अथवा,1665
चार,1633
विषय,1628
परन्तु,1612
अनेक,1604
उठा,1597
निकल,1587
आधार,1574
अलग,1572
ठीक,1565
प्रदेश,1545
पानी,1542
अनुसार,1540
संबन्ध,1538
ला,1533
किन्तु,1526
अभी,1524
समिति,1516
४,1507
कार्यक्रम,1503
उत्पादन,1500
समाज,1497
तैयार,1497
५,1493
सुन,1489
शिक्षा,1483
ध्यान,1462
सामने,1461
क्यों,1461
वस्तु,1456
डाल,1451
बारे,1432
उत्तर,1431
कहीं,1425
हर,1402
दृष्टि,1381
सोच,1377
आवश्यक,1375
खड़ा,1374
अध्ययन,1361
उठ,1361
काफी,1352
राजा,1350
आवश्यकता,1347
बाहर,1346
चित्र,1344
दिखा,1336
आगे,1326
सिंह,1322
जल,1307
शक्ति,1295
दौरान,1292
पता,1289
दूर,1288
कितना,1286
निर्माण,1285
ऊपर,1282
मुख्य,1282
सहायता,1279
नही,1278
समस्या,1267
गाँव,1254
अत,1252
छोड़,1249
पूर्व,1247
आदमी,1246
सबसे,1241
स्तर,1236
मनुष्य,1234
अगर,1233
उद्योग,1233
लगभग,1226
उपयोग,1221
प्रतिशत,1219
अर्थ,1217
धर्म,1215
मात्रा,1211
पत्र,1209
खा,1206
केंद्र,1204
स्वयं,1200
करोड,1193
जैसा,1188
पूछ,1188
पी,1183
ज्ञान,1161
प्रत्येक,1159
प्रभाव,1155
बढ़,1154
शुरू,1151
आर्थिक,1133
पहुंच,1131
बिना,1129
सामाजिक,1116
राष्ट्रीय,1113
शरीर,1108
वर्ग,1106
विभाग,1103
निकाल,1098
भेज,1097
सेवा,1096
६,1095
मार,1094
बदल,1091
मूल्य,1090
स्पष्ट,1088
संख्या,1078
परिवार,1067
दिल्ली,1058
माँ,1056
