word,frequency
का,17472
है,12784
कर,9787
में,7683
और,6935
से,5224
एक,4411
जा,4026
यह,3734
ले,3655
हो,2983
को,2786
पर,2360
जो,2160
वह,2145
अपना,1643
आप,1616
था,1390
भी,1258
साथ,1160
कि,1116
शहर,975
मंदिर,961
सक,951
रूप,913
दे,846
सबसे,831
रह,758
वाला,751
देख,741
स्थित,730
ही,708
द्वारा,699
भारत,686
कुछ,658
बना,602
तक,597
यात्रा,586
ने,555
प्रसिद्ध,553
बहुत,524
बन,523
नहीं,518
यहाँ,514
आ,505
किमी,501
राज्य,481
या,479
सब,478
जहाँ,476
केरल,476
रख,461
जैसा,446
समय,426
किला,424
क्षेत्र,418
कोई,399
स्थल,399
स्थान,392
तट,381
बाद,378
बीच,377
अच्छा,377
पर्यटक,369
लोग,353
कई,349
भर,347
तरह,342
तो,338
जगह,328
समुद्र,326
ओर,316
पहाडी,316
दो,315
पास,315
–,314
दिन,307
भगवान,306
जीवन,302
नदी,300
पूरा,284
अधिक,284
दूर,284
पानी,282
केंद्र,281
आकर्षण,274
सुन्दर,272
देश,270
महल,264
पर्यटन,257
मैं,254
ऐसा,254
किलोमीटर,254
कह,252
जब,251
दौरान,249
प्राचीन,249
आनंद,246
’,245
हर,243
शानदार,242
मान,242
महत्वपूर्ण,240
घर,239
पहले,238
भारतीय,235
झील,235
महाराष्ट्र,234
गुफा,233
पुराना,232
मिल,231
दुनिया,229
छुट्टी,228
नाम,228
राजस्थान,227
प्रदान,227
कला,219
उद्यान,219
छोटा,217
लेकिन,216
अन्य,214
जंगल,213
प्रमुख,211
अनुभव,210
पवित्र,208
होटल,206
सड़क,203
बस,200
चल,199
प्रदेश,198
राजधानी,197
भूमि,196
रंग,193
दूरी,191
विशाल,191
योजना,189
भाग,189
मुख्य,186
बडा,185
इतिहास,182
दृश्य,182
लगभग,182
कारण,181
जिला,181
दूसरा,180
राष्ट्रीय,180
मुंबई,177
चार,175
उत्तर,175
यदि,173
लगा,172
केवल,172
पत्थर,171
स्टेशन,170
दक्षिण,169
विभिन्न,168
वहाँ,167
किनारा,167
महान,165
पा,165
जल,164
संग्रहालय,163
साल,161
हम,161
मध्य,160
अलावा,160
शामिल,157
लग,157
हरा,155
संस्कृति,155
मूर्ति,154
पूर्व,152
भोजन,152
घाटी,150
तीन,150
राजा,150
स्थानीय,149
रास्ता,149
दौरा,148
समृद्ध,148
नीचे,147
वर्ष,147
सदी,147
मेला,146
नृत्य,146
लोकप्रिय,146
नया,146
एवं,146
स्मारक,143
हवाई,143
निर्माण,142
अभी,142
उपलब्ध,141
काम,140
आकर्षक,140
मना,139
‘,137
लंबा,137
घूम,137
ऊपर,137
प्राप्त,135
अगर,135
मार्ग,134
धार्मिक,134
धर्म,134
अड्डा,134
आसपास,133
अलग,133
पक्षी,131
न,131
संगीत,130
विश्व,130
फिर,129
हाथी,129
यात्री,128
शताब्दी,128
फैल,128
बड़ा,126
प्रकृति,125
जुड़,125
तरफ,125
प्रकार,122
दिल्ली,122
खेल,122
प्राकृतिक,122
चाहिए,121
,120
बारे,120
अंदर,120
बार,120
मीटर,120
रेलवे,118
शांत,118
कम,116
रात,115
मछली,115
आयोजित,115
विरासत,115
विशेष,115
अब,114
हिस्सा,114
उत्सव,113
कस्बा,112
हाथ,112
सारा,112
भ्रमण,112
कभी,111
शिवाजी,111
प्रवेश,110
चाह,110
वास्तव,109
शाही,109
ऊंचाई,109
सहित,109
देवी,108
पहुँच,108
चित्र,107
शैली,107
खोज,106
प्रत्येक,106
पश्चिमी,106
समुद्री,106
जान,105
क्योंकि,105
पश्चिम,105
अवकाश,104
अवसर,103
ऐतिहासिक,103
हिंदू,103
जयपुर,102
वास्तुकला,102
चर्च,102
बौद्ध,101
स्वाद,101
सेवा,101
सांस्कृतिक,101
गंतव्य,101
शुरू,101
स्थापित,101
तीर्थ,100
रंगीन,100
चट्टान,100
काल,99
आकर्षित,99
तरीका,99
पर्वत,99
त्यौहार,99
बाहर,98
मस्जिद,98
पेड़,98
सागर,98
मुगल,97
आनन्द,96
रेत,96
भूल,96
तथा,95
गोवा,95
लकडी,95
शाम,94
हवा,93
बाजार,93
त्योहार,93
झरना,93
जोड़,92
आदि,92
सुविधा,91
उच्च,91
काफी,91
इलाका,90
