word,frequency
का,39798
है,36325
कर,34879
में,24848
यह,17138
हो,15515
जा,13836
से,12678
और,11378
वह,10945
को,10751
भी,6696
पर,6361
ले,6350
था,5749
रह,5239
नहीं,4992
ही,4864
एक,4470
कि,4424
दे,4379
जो,4219
ने,3749
’,3689
अपना,3466
तो,3326
तथा,2864
सक,2673
आ,2351
मैं,2227
कोई,2199
साथ,2177
फिल्म,2050
वाला,2005
हम,1934
तक,1840
कृषि,1801
कह,1787
‘,1752
मिल,1697
फसल,1652
या,1648
अधिक,1594
कुछ,1593
रूप,1523
कला,1496
दो,1491
10,1491
देश,1455
समय,1441
11,1431
चाहिए,1424
एवं,1420
ऐसा,1404
भारत,1402
बड़ा,1342
बाद,1311
०,1270
समाचार,1269
बन,1266
न,1259
द्वारा,1247
4,1240
बना,1206
रख,1190
क्षेत्र,1142
लग,1132
व,1123
बहुत,1114
आप,1081
देख,1069
सब,1068
6,1052
कम,1045
किसान,1045
लोग,1023
उत्पादन,1017
नया,1014
2006,1013
पा,1000
प्रकार,1000
कारण,998
चल,966
अच्छा,963
तरह,962
दिन,952
जैसा,942
बात,925
प्राप्त,924
लेकिन,922
प्रयोग,899
जब,873
पहले,845
खेती,841
दूसरा,840
भारतीय,815
भूमि,805
वर्ष,786
काम,786
लगा,779
अब,778
5,766
आदि,765
नाम,756
क्या,729
सरकार,725
आज,721
1,714
पूरा,713
कार्य,702
1966,701
जीवन,689
चित्र,687
उपयोग,678
भाग,676
रंग,671
मान,669
कई,662
कभी,661
विकास,651
12,650
प्रति,647
अन्य,642
यहाँ,633
बीज,633
तुम,629
कलाकार,627
फिर,622
8,616
फल,615
सबसे,614
बार,613
स्थान,607
जी,605
पौध,602
पत्र,600
लिये,591
94,587
2007,567
मात्रा,566
चाह,562
अनेक,561
पौधा,550
साल,546
छोटा,541
विशेष,534
काफी,529
लगभग,520
ओर,517
संगीत,517
ज्यादा,515
2009,509
तीन,505
2013,503
प्रदेश,498
कार्यक्रम,488
चुक,486
समझ,485
अलग,482
प्रभाव,479
वहाँ,478
खेत,477
अथवा,477
हर,473
पड,472
जान,470
इतना,469
लिख,469
विभिन्न,468
यदि,462
बता,460
जल,460
नाटक,457
जहाँ,453
भाषा,452
राज्य,451
2,448
तेल,448
शुरू,445
प्रमुख,445
फूल,445
7,443
केंद्र,441
उपज,438
पड़,436
तैयार,432
आवश्यकता,432
क्योंकि,431
माध्यम,429
आवश्यक,429
केवल,428
मुख्य,417
किस्म,416
दिखा,414
वृद्धि,405
रेडियो,405
प्रतिशत,404
ध्यान,404
भर,403
88,400
पानी,397
50,393
पत्ती,391
कौन,387
स्वांग,387
उगा,386
72,384
इसलिए,378
विधि,377
बीच,375
पहला,374
बढ,371
निर्माण,366
विषय,366
बाजार,363
83,363
पशु,362
ला,357
करोड,356
रोग,355
45,353
3,348
पास,347
डाल,346
चार,334
घर,334
नृत्य,333
रुपया,332
अगर,331
महत्वपूर्ण,329
स्तर,327
तब,327
