word,frequency
है,24203
का,21212
कर,17435
में,13569
हो,13408
से,10535
यह,7784
जा,7670
को,7100
और,5294
ले,4242
भी,3822
पर,3758
वह,3279
सक,2639
रह,2380
या,2313
तो,2300
दे,2273
नहीं,2223
जो,2208
एक,2200
रोग,2153
ही,2104
कि,1824
आ,1733
शरीर,1568
कारण,1492
वाला,1468
चाहिए,1446
रोगी,1421
कम,1401
कोई,1386
आप,1362
लग,1330
तथा,1295
न,1269
बच्चा,1264
तक,1203
रख,1188
अपना,1176
साथ,1173
पानी,1153
व,1132
अधिक,1101
समय,1050
दर्द,1036
बाद,1018
कुछ,955
ऐसा,938
दो,916
बार,892
पा,887
एवं,885
जैसा,876
बन,858
बहुत,852
आदि,842
दिन,828
हम,786
मिल,781
यदि,776
बीमारी,773
मात्रा,768
तरह,765
प्रयोग,744
ज्यादा,727
लगा,726
त्वचा,722
खाना,675
प्रकार,671
महिला,666
पेट,650
लोग,648
कई,646
कह,642
रूप,640
रक्‍त,624
आँख,618
भोजन,594
जब,592
सेवन,591
तेल,559
कभी,545
हाथ,537
लक्षण,533
व्यक्‍ति,530
पहले,527
कैंसर,524
पैर,521
औषधि,514
बना,514
द्वारा,503
हृदय,495
फिर,484
चल,482
समस्या,476
बढ,476
दवा,474
सब,473
पी,463
तीन,461
अच्छा,461
रंग,450
पूरा,442
सूर्य,442
दूर,441
कमी,441
लेकिन,440
चिकित्सा,436
दूसरा,431
निकल,423
ठीक,419
उपचार,416
काम,405
अगर,402
पड,399
दूध,394
दाँत,390
स्थिति,388
विटामिन,386
देख,384
स्वास्थ्य,383
बाल,374
इलाज,369
पदार्थ,367
डाल,365
वर्ष,365
धीरे,365
बात,357
उम्र,354
था,348
ने,347
सिर,344
लाभ,343
अथवा,342
मरीज,339
अन्य,335
मिला,331
करा,330
हर,327
भर,327
सी,326
छोटा,325
भाग,325
अनुसार,324
पैदा,318
3,318
ध्यान,315
सबसे,312
मधुमेह,310
निकाल,309
बढ़,309
ओर,303
बाहर,301
खून,300
इस्तेमाल,299
अंग,299
रस,299
शिशु,298
क्योंकि,297
जाँच,294
महसूस,294
काफी,292
बंद,288
जल,287
वजन,283
संक्रमण,282
फल,281
उत्पन्न,275
30,275
कान,275
इसलिए,273
विशेष,273
पहुँच,269
साफ,268
स्वस्थ,268
नींद,267
ए,264
1,264
मल,264
आहार,263
पता,262
प्रतिशत,261
गर्म,259
सामान्य,258
घंटा,255
बड़ा,255
सूजन,255
नष्ट,254
मानसिक,252
2,252
मान,251
जीवन,251
6,249
दौरान,247
वजह,247
पड़,246
मुँह,245
सुबह,245
जरूरी,244
चेहरा,244
साल,243
ग्राम,243
खा,242
शारीरिक,241
तेज,237
नियमित,237
सर्दी,236
विधि,235
चार,233
शक्ति,231
पास,229
चीज,228
ऊपर,227
मन,226
आँत,226
बच,224
आराम,224
पुरुष,224
चिकित्सक,223
मुख्य,223
बैठ,222
डॉक्टर,222
हरा,221
स्त्री,221
व्यायाम,218
नया,218
कोशिका,217
मालिश,217
क्या,216
5,215
मिनट,214
स्थान,214
तैयार,214
सब्जी,213
मूत्र,213
तब,212
खतरा,211
लाल,210
पेशाब,209
बीच,207
घर,207
अंदर,207
तनाव,206
अब,205
अलग,205
विकार,204
अवस्था,204
हड्डी,203
आवश्यक,203
बुखार,200
अलावा,200
प्रभाव,195
गोली,194
सही,194
खाँसी,194
बचा,193
प्रभावित,193
रात,192
फैल,190
केवल,188
आवश्यकता,188
जान,187
दिखा,184
सा,184
आधा,183
रोक,183
तत्त्व,183
कब्ज,182
नीचे,180
संबंधी,180
महीना,180
बता,178
साँस,176
क्रिया,176
कार्य,176
कमजोर,175
मस्तिष्क,175
बिना,175
मांसपेशी,174
शिकार,174
जल्दी,173
श्‍वास,171
मदद,170
क्षमता,170
लगभग,169
हल्का,168
दिल,167
अध्ययन,166
हिस्सा,166
आयु,166
उपयोग,166
आयरन,166
किरण,165
असर,165
टी,165
नाक,164
बी,163
जलन,163
चाह,162
देर,162
तरीका,161
छाती,160
आम,159
प्रक्रिया,157
खुजली,157
जुकाम,157
जरूरत,156
घुटना,155
10,155
सफेद,154
पड़,154
संभावना,154
गला,154
रक्‍तचाप,152
दस्त,151
माँ,151
प्राकृतिक,151
शिकायत,150
सामने,149
माध्यम,148
अनेक,148
उठ,148
स्तर,148
गुर्दा,148
ला,147
चोट,147
भारत,147
प्रति,147
ठंडा,147
सर्जरी,146
स्राव,145
जन्म,145
व्यक्ति,144
ताकि,143
मोटापा,142
सलाह,141
पाँच,141
विभिन्न,141
20,141
उचित,141
लगातार,140
4,140
ऑपरेशन,140
थोडा,140
थोड़ा,139
शुरू,139
प्रतिदिन,139
शामिल,137
शहद,137
लंबा,136
उपयोगी,136
गर्मी,135
मौसम,135
मूल,135
घाव,135
इतना,134
वृद्धि,134
यानी,134
अवश्य,133
गंभीर,133
समझ,133
कमर,133
पहुँचा,132
मामला,132
बोतल,132
गर्भावस्था,132
बूँद,132
विशेषज्ञ,131
तप्त,130
बदल,129
नाम,129
विकास,129
जहाँ,129
बचाव,128
जगह,128
ज्वर,128
चार्ज,128
शाम,127
आमतौर,127
चाय,127
परेशानी,127
पीडित,126
देश,126
तोल,126
बल्कि,125
पुराना,125
कौन,125
पथरी,125
चूर्ण,125
आज,124
बेहतर,124
गर्भाशय,124
नियंत्रण,124
गर्भ,124
पाचन,124
चुक,123
अत्यधिक,123
काट,122
दिमाग,122
खाद्य,122
तेजी,122
परिवार,122
अतिरिक्त,122
तुरंत,122
मोटा,120
मैं,120
सो,120
संभव,120
जबकि,120
आसानी,119
प्रमुख,119
उच्च,119
प्राप्त,119
बारे,119
विकृति,118
उपलब्ध,118
कार्यक्रम,118
धूप,117
पूर्व,117
उठा,117
वायु,117
धूम्रपान,116
नुकसान,116
कफ,116
कैलोरी,116
अत्यन्त,115
जी,115
दस,114
भूख,114
उदर,114
अँगुली,114
सहायक,113
मनुष्य,113
एच,112
धो,112
पर्याप्त,112
गैस,112
सोना,112
नमक,111
तकलीफ,111
सारा,111
एसिड,111
अस्पताल,110
अल्सर,110
डी,110
पत्ता,110
नीला,110
उपाय,109
आदत,109
स्तन,109
दौरा,109
गुदा,109
चक्र,109
सेब,109
संबंध,108
सिर्फ,108
15,108
प्रत्येक,108
गर्दन,108
तौर,108
उत्पत्ति,108
जानकारी,107
मासिक,107
रुक,107
वायरस,106
गाँठ,106
पीछे,106
मृत्यु,106
सीधा,106
पिला,106
प्राय,106
जितना,104
कमजोरी,104
प्रोटीन,104
आर्थराइटिस,104
गुण,104
ऑयल,104
बढा,103
फायदा,103
पहन,103
हमेशा,103
संबंधित,103
ताजा,102
बढ़,102
युक्त,102
धमनी,102
गर्भवती,102
पौष्‍टिक,102
मा,101
टेस्ट,101
जिगर,101
रोशनी,100
भीतर,100
वैसे,100
पीठ,100
बेहद,99
मौजूद,98
पूर्ण,98
सप्‍ताह,98
एनिमा,98
खुद,97
नियंत्रित,97
डॉ,97
स्नान,97
क्षेत्र,97
40,97
प्रसव,97
लाभदायक,97
जूस,97
माशा,97
अत,97
खास,96
चम्मच,96
वैज्ञानिक,96
यौन,95
बह,95
नींबू,94
ब्लड,94
कितना,94
नजर,94
आगे,94
दर,94
पीला,94
ऊर्जा,94
अर्क,94
पहचान,93
सहायता,93
दवाई,93
खुराक,93
पीसकर,93
मिर्च,92
जोड़,92
प्रदान,92
पित्त,92
गहरा,92
वक्त,92
जरूर,91
संतुलित,91
पोलियो,91
परंतु,91
बवासीर,91
12,90
संख्या,90
बिल्कुल,90
7,90
समान,90
गिर,90
शर्करा,90
इत्यादि,90
लेप,90
नारियल,90
आसन,90
रोज,89
नली,89
सरस,89
योनि,89
जोर,89
पतला,89
मुताबिक,89
यहाँ,88
पान,88
संक्रमित,88
तंत्र,88
आकार,88
दबाव,88
50,88
तीव्र,88
सोच,88
नामक,88
वसा,87
एस,87
माह,87
हेतु,87
दायें,87
शराब,85
केंद्र,85
करवा,85
माता,85
हवा,85
पद्धति,85
सिरदर्द,85
महत्त्वपूर्ण,85
ना,85
सेहत,84
सफाई,84
काली,84
शुद्ध,84
बराबर,84
हार्ट,84
एलर्जी,84
टीका,83
भरपूर,83
सुरक्षित,83
पहला,83
कहीं,83
घी,83
दाग,83
ग्रस्त,83
बदलाव,82
डायबिटीज,82
आर,82
पोषक,82
तंत्रिका,82
तकनीक,82
लाभकारी,82
वी,81
साबित,81
फैट,81
अन्दर,81
खुल,81
थकान,81
अक्सर,81
क्षय,81
दबा,81
सौ,81
कैल्शियम,81
शीघ्र,80
शोध,80
नेत्र,80
अभ्यास,80
खराब,80
नशा,80
खान,79
कपडा,79
फेफड़,79
उल्टी,79
दान,79
फूल,79
बीज,79
जमा,79
ज्यादातर,78
बढ़ा,78
राहत,78
सुगंध,77
परीक्षण,77
काला,77
संपर्क,77
हर्निया,76
पश्‍चात,76
तुलना,76
यकृत,76
गति,76
चीनी,75
तत्व,75
बुरा,75
मूत्राशय,75
ऊपरी,75
नारंगा,75
दमा,75
तापमान,75
कोशिश,74
दाल,74
प्रजनन,74
यू,74
गरम,74
इच्छा,74
अवसाद,74
जोड़,73
चिंता,73
एक्सरसाइज,73
बल,73
रसायन,73
संचार,73
खाता,73
यूनानी,73
रोगिणी,73
सूख,72
फूड,72
सलाद,72
प्रवाह,72
जरिये,72
दिख,72
निमोनिया,72
पीडा,72
दह,72
उत्तम,72
बेचैनी,72
देखभाल,71
अंडा,71
खत्म,71
मच्छर,71
प्रकृति,71
स्वयं,71
वहाँ,71
डाइट,71
निदान,70
तरफ,70
आस,70
दूषित,70
पोषण,70
बडा,70
बायें,70
आशंका,70
शोथ,70
खूब,69
फीसदी,69
उतना,69
आधार,69
दाना,69
साधारण,69
त्याग,69
नसबंदी,69
हड्‍डी,69
उबाल,68
सुन,68
विकसित,68
परिवर्तन,68
औरत,68
खाली,68
परिणाम,68
खिला,68
मानव,68
रक्‍तस्राव,68
मजबूत,67
चावल,67
छान,67
जीवाणु,67
जख्म,67
क्रीम,67
डिप्रेशन,67
पीड़ित,67
बैक्टीरिया,66
ग्रंथी,66
अनुभव,66
गर्भनिरोधक,66
चबा,65
गाजर,65
संपूर्ण,65
याद,65
प्रवेश,65
नाखून,65
अधिकतर,65
किन्तु,65
निचला,65
फट,65
टूट,65
हानिकारक,65
मिश्रण,64
छुटकारा,64
प्रेशर,64
मलेरिया,64
चाहिये,64
भारी,64
सीधे,64
करीब,64
लिये,64
गलत,64
साबुन,64
आयुर्वेद,64
मस्तिष्त,64
मर्ज,64
शोधकर्ता,63
फायदेमंद,63
खेल,63
बिस्तर,63
वातावरण,63
थोड़ा,63
प्याज,63
रेकी,63
थेरेपी,63
अटैक,63
भूमिका,62
100,62
लेट,62
स्वाद,62
निम्न,62
धर्म,62
माँस,62
काल,62
ऑफ,62
खतरनाक,62
कष्ट,61
सक्रिय,61
आठ,61
आवाज,61
वस्तु,61
अभाव,61
भूल,61
ऑक्सीजन,61
सावधानी,60
समाप्त,60
प्रणाली,60
आरम्भ,60
परन्तु,60
निर्भर,60
प्यास,60
अर्थात,60
सिद्ध,60
ठंड,60
बढ़ा,60
दृष्‍टि,60
घोल,59
क्यों,59
अचानक,59
उभर,59
नवजात,59
स्नायु,59
आधुनिक,59
आजकल,59
पत्ती,59
हल्दी,59
ग्रंथि,59
अभी,58
लाख,58
मुख,58
इंजेक्शन,58
स्रोत,58
अति,58
भूमि,58
जम,57
ई,57
मौत,57
हालाँकि,57
खोज,57
स्किन,57
जड़,57
हँस,57
परेशान,56
हद,56
योग,56
नस,56
प्रयास,56
घट,56
क्षति,56
नीम,56
विश्व,56
आँवला,56
छिलक,56
कृमि,56
चक्कर,56
स्थित,56
जिंदगी,55
बरत,55
हार्मोन,55
हालत,55
तुरन्त,55
अम्ल,55
क्षतिग्रस्त,55
गठिया,55
श्‍वसन,55
रक्‍तदान,55
परहेज,54
सूखा,54
शौच,54
200,54
अधिकता,54
मसाज,54
शुगर,53
कैसे,53
चला,53
सुरक्षा,53
तीसरा,53
कीटाणु,53
सीना,53
गुलाब,53
शुरु,53
आसान,52
खोल,52
बाहरी,52
अधिकांश,52
गुना,52
निर्माण,52
दिशा,52
रोजाना,52
कंप्यूटर,52
पुन,52
छोड़,51
एम,51
वहीं,51
ढंग,51
मार्ग,51
पीलिया,51
8,51
मर,51
पसीना,51
छोड़,51
लहसुन,51
कारगर,51
इंसुलिन,51
झुर्री,51
गुनगु,51
गिलास,50
घटा,50
तभी,50
टमाटर,50
दोष,50
नही,50
तम्बाकू,50
कठिनाई,50
सुधार,50
नलिका,50
पेचिश,50
शांत,50
कपड़ा,50
पसली,50
नजला,50
हाई,49
जीभ,49
रक्त,49
नाश्ता,49
भारतीय,49
भय,49
घातक,49
बजाय,49
सेवा,49
मुकाबला,49
महत्वपूर्ण,49
कुल,49
रुप,49
ग्लूकोज,49
नाभि,49
सौंफ,49
हफ्ता,48
अनाज,48
रक्षा,48
बीमार,48
लिख,48
ट्यूमर,48
अपेक्षा,48
लगवा,48
मात्र,48
युवा,48
संतरा,48
मुलायम,48
तुलसी,48
छाल,48
रुकावट,48
दीवार,48
कार्बोहाइड्रेट,48
किस्म,48
ब्रोंकाइटिस,48
दिव्य,48
प्रतिरोधक,47
निश्कित,47
एड़ी,47
सिगरेट,47
अर्थ,47
सामाजिक,47
सतह,47
हजार,47
खानपान,47
कप,47
हाल,47
सहारा,47
कॉलेस्ट्रॉल,47
लाभप्रद,47
बॉडी,47
बलगम,46
मोड़,46
प्राणायाम,46
शब्द,46
प्रकट,46
खसरा,46
संक्रामक,46
60,46
असामान्य,46
मवाद,46
तिल,46
द्रव्य,46
दम,46
प्रदाह,46
पीड़ा,46
अंतर,46
चर्बी,46
गतिविधि,45
परामर्श,45
सूक्ष्म,45
एड्स,45
25,45
मि,45
सात,45
किडनी,45
वास्तव,45
दिक्कत,45
मिश्री,45
रासायनिक,45
तुम,45
परत,44
