word,frequency
है,40033
का,22666
मैं,22155
कर,14787
वह,13565
यह,12391
नहीं,10586
हो,9670
में,9100
आप,9047
एक,8845
जा,8793
रह,8028
हम,6794
और,6664
लिए,6639
तुम,6573
से,6546
था,5837
कि,5399
को,4798
क्या,4571
अपना,4117
सक,3796
पर,3771
दे,3425
भी,3025
ले,2667
कोई,2638
कुछ,2580
आ,2533
तो,2512
कह,2339
साथ,2035
यहाँ,2010
मिल,2006
चाह,2003
सब,1974
लग,1959
तुम्ह,1884
लेकिन,1796
देख,1775
अब,1653
पता,1630
तरह,1625
चल,1542
ही,1536
जो,1530
बात,1522
ठीक,1469
बहुत,1467
अच्छा,1442
बारे,1228
वहाँ,1225
दो,1181
जान,1171
लोग,1145
चाहिए,1077
जब,1077
वाला,1059
बाहर,1056
अगर,1025
हाँ,1004
काम,997
पहले,984
आदमी,976
कभी,974
बता,959
मार,957
बस,913
समय,909
रख,903
वापस,901
फिर,886
तक,878
कैसे,863
क्यों,859
अभी,776
रूप,772
या,759
ने,739
ऐसा,721
सिर्फ,710
कौन,694
जरूरत,687
न,669
सोच,663
पास,644
घर,627
दिन,619
मत,618
बच्चा,609
सही,604
पूरा,602
बंद,573
नीचे,567
मर,563
देखो,562
बाद,546
दोस्त,545
प्यार,545
इतना,535
कहाँ,532
हर,531
बार,519
साल,508
सुन,483
बन,482
बना,480
क्योंकि,479
अधिक,477
लगा,476
शायद,473
मतलब,463
पा,456
रात,455
याद,452
अरा,449
पिता,446
आज,445
डाल,443
समझ,443
माँ,440
सबसे,440
जीवन,439
छोड,433
जगह,432
तुम्हारी,431
छोटा,429
मदद,423
हमेशा,422
ओह,413
केवल,406
दूर,405
कोशिश,399
दूसरा,395
पसंद,392
ला,390
नाम,388
कारण,384
कम,377
वास्तव,372
बेटा,370
दुनिया,363
शुरू,362
कितना,351
फोन,350
पैसा,342
भगवान,337
नया,336
तुम्हारा,335
जैसे,324
कृपया,321
सच,319
पूछ,319
खैर,319
यदि,318
कार,318
बदल,318
ऊपर,313
लड़का,311
बुरा,309
तैयार,307
अंदर,305
खुद,302
हाथ,302
रास्ता,293
भाई,291
सा,289
बेहतर,286
जहाँ,285
लड़की,284
चुक,284
सारा,279
भेज,274
सर,273
खेल,272
पीछे,272
बोल,272
कल,270
दिखा,270
श्री,265
खो,265
शादी,264
विश्वास,264
बचा,264
खा,261
महिला,261
जल्दी,261
थोड़ा,256
पुरुष,254
रुक,246
ज्यादा,244
द्वारा,242
बकवास,240
डर,237
ओर,236
ना,230
मिनट,230
तीन,228
निकल,226
बडा,226
यकीन,221
पिताजी,219
तुमसा,219
कमबख्त,219
पुलिस,218
रोक,216
भूल,213
पुराना,211
बिना,211
धन्यवाद,210
गोली,209
पहला,201
माफ,201
इसलिए,200
परिवार,199
पत्नी,198
कहीं,198
आगे,196
चार,194
शहर,194
मान,194
गिर,193
गलत,192
अकेला,191
बैठ,191
पिछला,191
खत्म,191
बीच,190
महसूस,190
काफी,190
तब,188
बुला,188
जीत,187
बड़ा,187
भर,187
घंटा,186
राजा,186
पड़,183
हमला,182
सुन्दर,181
अगला,181
जैसा,180
पकड,179
भाग,179
समस्या,178
लंबा,176
हे,176
योजना,176
देर,174
दिल,173
निकाल,173
पागल,172
सुनो,172
विचार,171
सिर,170
ध्यान,169
छोड़,169
भुगतान,164
माध्यम,162
उठा,162
कैसा,162
युद्ध,161
