word,frequency
अ'वर,3
अ-उपन,5
अ-क,4
अ-प,3
अ-य,7
अ-र,4
अ-व,7
अ-स,4
अ-हस,3
अo,3
अइ,10
अइउण,6
अइज,43
अइमग,31
अइय,4
अइयर,24
अइस,14
अई,20
अईस,3
अउ,7
अउर,11
अऋण,5
अए,9
अएद,3
अओ,12
अओर,5
अक,31894
अकट,8
अकड,86
अकत,23
अकथ,11
अकथन,12
अकदम,3
अकन,3
अकब,14
अकबर,1653
अकबरन,21
अकबरप,139
अकम,17
अकमल,23
अकर,121
अकरण,7
अकरम,42
अकल,136
अकलतर,5
अकव,16
अकश,70
अकस,154
अकसर,175
अकह,11
अख,2576
अखड,18
अखण,150
अखन,69
अखब,1211
अखबर,4
अखम,5
अखर,184
अखरन,3
अखल,10
अखव,7
अग,8439
अगड,10
अगण,53
अगणन,20
अगत,45
अगथ,4
अगद,7
अगदत,7
अगन,22
अगप,7
अगम,74
अगमक,4
अगर,5265
अगरकर,5
अगरकस,3
अगरच,29
अगरतल,98
अगरप,7
अगरबत,58
अगरव,7
अगल,4980
अगल-बगल,33
अगव,103
अगस,6588
अगसत,9
अगह,6
अगहत,5
अगहन,27
अघ,336
अघन,12
अघर,16
अङ,28
अच,13085
अचक,6
अचकज,5
अचकन,9
अचछ,10
अचन,7
अचम,19
अचर,89
अचरज,22
अचल,329
अचलगढ,11
अचलत,14
अचलप,12
अचलभ,4
अचलस,11
अछ,492
अछर,14
अज,5410
अजग,10
अजगर,104
अजज,14
अजट,16
अजद,5
अजन,111
अजनब,165
अजनव,4
अजप,6
अजब,47
अजबगढ,12
अजम,806
अजमत,4
अजमल,96
अजय,738
अजय-अत,7
अजयगढ,46
अजयप,35
अजयम,19
अजयर,26
अजयस,3
अजर,27
अजर-अमर,13
अजरब,90
अजल,33
अजव,56
अजस,20
अजह,9
अजहर,58
अझ,53
अझग,14
अञ,19
अट,1343
अटक,133
अटकत,6
अटकन,6
अटकल,244
अटकलब,35
अटठ,3
अटपट,27
अटर,84
अटल,1345
अटलज,9
अटलब,4
अटव,25
अटस,16
अठ,677
अठख,10
अठन,5
अठम,4
अठव,5
अठहत,5
अड,3495
अडचन,3
अडड,21
अडन,5
अडम,3
अडय,7
अडर,5
अडल,10
अडव,40
अढ,21
